time,compressorpressure,compressortemperature,compressorexternaltemperature,compressorexternalhumidity,grmsx,grmsy,grmsz,compressorstatus,compressorrunstop,compressorId,compressorindex,compressorname,maker,capacity
1633581600000,7.10001,25.00001,24.9,64.5,31.982379,0.003612,1.00022,0,4,364,1,main,youjin,55kw(75HP)
1633581601000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581602000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581603000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581604000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581605000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581606000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581607000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581608000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581609000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581610000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581611000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581612000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581613000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581614000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581615000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581616000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581617000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581618000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581619000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581622000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581623000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581624000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581625000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581626000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581627000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581628000,8.00001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581629000,8.00001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581630000,8.00001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581631000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581632000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581633000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581636000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581637000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581638000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581639000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581640000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581641000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581642000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581643000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581644000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581645000,7.10001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581646000,7.10001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581647000,7.10001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581648000,7.10001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581649000,7.10001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581650000,7.10001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581651000,7.10001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581652000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581653000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581654000,7.20001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581655000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581656000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581657000,7.30001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581658000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581659000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581660000,7.10001,25.00001,24.9,64.5,31.982364,0.0036,1.000233,0,4,364,1,main,youjin,55kw(75HP)
1633581661000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581662000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581663000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581664000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581665000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581666000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581667000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581671000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581672000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581673000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581674000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581675000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581676000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581677000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581678000,8.00001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581679000,8.00001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581680000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581681000,7.90001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581682000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581683000,7.80001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581686000,7.60001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581687000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581688000,7.50001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
1633581689000,7.40001,24.00001,,,,,,0,4,364,1,main,youjin,55kw(75HP)
